HYPER-PARAMETERS
[95/400]  Loss_D: -1.5175 Loss_G: -4.7008, Wasserstein_dist:2.0853, vae_loss_seen:738.7187 GZSL: seen=0.9535, unseen=0.8625, h=0.9057 ZSL: unseen accuracy=0.9212
[96/400]  Loss_D: -1.4080 Loss_G: -5.7548, Wasserstein_dist:1.9060, vae_loss_seen:730.5139 GZSL: seen=0.9461, unseen=0.8712, h=0.9071 ZSL: unseen accuracy=0.9221
[97/400]  Loss_D: -1.5773 Loss_G: -6.5136, Wasserstein_dist:2.1010, vae_loss_seen:731.8184 GZSL: seen=0.9478, unseen=0.8827, h=0.9141 ZSL: unseen accuracy=0.9288
[98/400]  Loss_D: -1.6265 Loss_G: -5.6190, Wasserstein_dist:2.1953, vae_loss_seen:748.7008 GZSL: seen=0.9535, unseen=0.8712, h=0.9104 ZSL: unseen accuracy=0.9202
[99/400]  Loss_D: -1.4585 Loss_G: -6.0289, Wasserstein_dist:1.9922, vae_loss_seen:750.9661 GZSL: seen=0.9325, unseen=0.8798, h=0.9054 ZSL: unseen accuracy=0.9250
[100/400]  Loss_D: -1.5647 Loss_G: -6.8195, Wasserstein_dist:2.1657, vae_loss_seen:740.2942 GZSL: seen=0.9337, unseen=0.8856, h=0.9090 ZSL: unseen accuracy=0.9240
[101/400]  Loss_D: -1.5698 Loss_G: -6.9086, Wasserstein_dist:2.0798, vae_loss_seen:754.7192 GZSL: seen=0.9466, unseen=0.8750, h=0.9094 ZSL: unseen accuracy=0.9317
[102/400]  Loss_D: -1.4767 Loss_G: -5.7506, Wasserstein_dist:1.9192, vae_loss_seen:741.7218 GZSL: seen=0.9454, unseen=0.8760, h=0.9093 ZSL: unseen accuracy=0.9269
[103/400]  Loss_D: -1.4096 Loss_G: -5.2832, Wasserstein_dist:1.9342, vae_loss_seen:745.2458 GZSL: seen=0.9455, unseen=0.8635, h=0.9026 ZSL: unseen accuracy=0.9317
[104/400]  Loss_D: -1.5265 Loss_G: -8.9420, Wasserstein_dist:2.1107, vae_loss_seen:741.2841 GZSL: seen=0.9549, unseen=0.8654, h=0.9080 ZSL: unseen accuracy=0.9260
[105/400]  Loss_D: -1.3315 Loss_G: -5.6074, Wasserstein_dist:1.8600, vae_loss_seen:728.6327 GZSL: seen=0.9440, unseen=0.8827, h=0.9123 ZSL: unseen accuracy=0.9269
[106/400]  Loss_D: -1.4916 Loss_G: -5.4045, Wasserstein_dist:2.0085, vae_loss_seen:742.1058 GZSL: seen=0.9561, unseen=0.8654, h=0.9085 ZSL: unseen accuracy=0.9240
[107/400]  Loss_D: -1.4448 Loss_G: -5.8687, Wasserstein_dist:2.0018, vae_loss_seen:730.2017 GZSL: seen=0.9470, unseen=0.8788, h=0.9117 ZSL: unseen accuracy=0.9260
[108/400]  Loss_D: -1.6055 Loss_G: -6.8170, Wasserstein_dist:2.1911, vae_loss_seen:752.7737 GZSL: seen=0.9470, unseen=0.8740, h=0.9090 ZSL: unseen accuracy=0.9240
[109/400]  Loss_D: -1.4816 Loss_G: -6.5930, Wasserstein_dist:1.9892, vae_loss_seen:744.3613 GZSL: seen=0.9580, unseen=0.8702, h=0.9120 ZSL: unseen accuracy=0.9279
[110/400]  Loss_D: -1.5979 Loss_G: -5.6760, Wasserstein_dist:2.1113, vae_loss_seen:751.2605 GZSL: seen=0.9479, unseen=0.8808, h=0.9131 ZSL: unseen accuracy=0.9183
[111/400]  Loss_D: -1.3223 Loss_G: -5.4643, Wasserstein_dist:1.8039, vae_loss_seen:730.9633 GZSL: seen=0.9472, unseen=0.8683, h=0.9060 ZSL: unseen accuracy=0.9183
[112/400]  Loss_D: -1.3954 Loss_G: -5.7742, Wasserstein_dist:1.9177, vae_loss_seen:746.5645 GZSL: seen=0.9375, unseen=0.8808, h=0.9082 ZSL: unseen accuracy=0.9240
[113/400]  Loss_D: -1.3248 Loss_G: -4.5384, Wasserstein_dist:1.7583, vae_loss_seen:749.1298 GZSL: seen=0.9587, unseen=0.8683, h=0.9112 ZSL: unseen accuracy=0.9240
[114/400]  Loss_D: -1.6173 Loss_G: -6.0562, Wasserstein_dist:2.1709, vae_loss_seen:741.8314 GZSL: seen=0.9577, unseen=0.8712, h=0.9124 ZSL: unseen accuracy=0.9202
[115/400]  Loss_D: -1.3477 Loss_G: -6.4430, Wasserstein_dist:1.8230, vae_loss_seen:727.6937 GZSL: seen=0.9565, unseen=0.8644, h=0.9081 ZSL: unseen accuracy=0.9240
[116/400]  Loss_D: -1.4157 Loss_G: -5.7232, Wasserstein_dist:1.8954, vae_loss_seen:750.1377 GZSL: seen=0.9429, unseen=0.8779, h=0.9092 ZSL: unseen accuracy=0.9250
[117/400]  Loss_D: -1.3401 Loss_G: -6.3893, Wasserstein_dist:1.8590, vae_loss_seen:738.9301 GZSL: seen=0.9393, unseen=0.8856, h=0.9117 ZSL: unseen accuracy=0.9279
[118/400]  Loss_D: -1.3923 Loss_G: -5.1840, Wasserstein_dist:1.8381, vae_loss_seen:746.7899 GZSL: seen=0.9451, unseen=0.8798, h=0.9113 ZSL: unseen accuracy=0.9308
[119/400]  Loss_D: -1.2970 Loss_G: -4.7390, Wasserstein_dist:1.7989, vae_loss_seen:733.7308 GZSL: seen=0.9509, unseen=0.8702, h=0.9087 ZSL: unseen accuracy=0.9308
[120/400]  Loss_D: -1.3821 Loss_G: -5.7549, Wasserstein_dist:1.9066, vae_loss_seen:738.7900 GZSL: seen=0.9524, unseen=0.8760, h=0.9126 ZSL: unseen accuracy=0.9288
[121/400]  Loss_D: -1.2902 Loss_G: -6.9444, Wasserstein_dist:1.7984, vae_loss_seen:745.2228 GZSL: seen=0.9358, unseen=0.8837, h=0.9090 ZSL: unseen accuracy=0.9154
[122/400]  Loss_D: -1.4197 Loss_G: -4.2413, Wasserstein_dist:1.9447, vae_loss_seen:741.0703 GZSL: seen=0.9432, unseen=0.8769, h=0.9088 ZSL: unseen accuracy=0.9279
[123/400]  Loss_D: -1.5840 Loss_G: -4.4424, Wasserstein_dist:2.0655, vae_loss_seen:760.0525 GZSL: seen=0.9504, unseen=0.8692, h=0.9080 ZSL: unseen accuracy=0.9298
[124/400]  Loss_D: -1.2459 Loss_G: -5.3636, Wasserstein_dist:1.6853, vae_loss_seen:728.9716 GZSL: seen=0.9350, unseen=0.8894, h=0.9116 ZSL: unseen accuracy=0.9163
[125/400]  Loss_D: -1.4219 Loss_G: -5.7649, Wasserstein_dist:1.8875, vae_loss_seen:743.8008 GZSL: seen=0.9497, unseen=0.8731, h=0.9098 ZSL: unseen accuracy=0.9308
