HYPER-PARAMETERS
[97/400]  Loss_D: -1.4805 Loss_G: -5.4304, Wasserstein_dist:1.9785, vae_loss_seen:749.9851 GZSL: seen=0.9407, unseen=0.8865, h=0.9128 ZSL: unseen accuracy=0.9231
[98/400]  Loss_D: -1.4324 Loss_G: -5.2514, Wasserstein_dist:1.9842, vae_loss_seen:745.6459 GZSL: seen=0.9574, unseen=0.8702, h=0.9117 ZSL: unseen accuracy=0.9221
[99/400]  Loss_D: -1.4488 Loss_G: -4.2223, Wasserstein_dist:1.9557, vae_loss_seen:745.5043 GZSL: seen=0.9367, unseen=0.8856, h=0.9104 ZSL: unseen accuracy=0.9279
[100/400]  Loss_D: -1.3314 Loss_G: -5.0220, Wasserstein_dist:1.7805, vae_loss_seen:730.3137 GZSL: seen=0.9504, unseen=0.8817, h=0.9148 ZSL: unseen accuracy=0.9269
[101/400]  Loss_D: -1.4560 Loss_G: -4.8120, Wasserstein_dist:1.9858, vae_loss_seen:741.4349 GZSL: seen=0.9511, unseen=0.8827, h=0.9156 ZSL: unseen accuracy=0.9260
[102/400]  Loss_D: -1.4274 Loss_G: -5.8511, Wasserstein_dist:1.9521, vae_loss_seen:741.3105 GZSL: seen=0.9416, unseen=0.8769, h=0.9081 ZSL: unseen accuracy=0.9298
[103/400]  Loss_D: -1.5297 Loss_G: -5.2316, Wasserstein_dist:2.0624, vae_loss_seen:747.2374 GZSL: seen=0.9448, unseen=0.8817, h=0.9122 ZSL: unseen accuracy=0.9183
[104/400]  Loss_D: -1.4650 Loss_G: -6.4248, Wasserstein_dist:1.9384, vae_loss_seen:739.1501 GZSL: seen=0.9386, unseen=0.8971, h=0.9174 ZSL: unseen accuracy=0.9356
[105/400]  Loss_D: -1.4686 Loss_G: -4.6555, Wasserstein_dist:1.9717, vae_loss_seen:746.0655 GZSL: seen=0.9557, unseen=0.8702, h=0.9109 ZSL: unseen accuracy=0.9260
[106/400]  Loss_D: -1.4831 Loss_G: -5.3545, Wasserstein_dist:1.9563, vae_loss_seen:743.4490 GZSL: seen=0.9493, unseen=0.8721, h=0.9091 ZSL: unseen accuracy=0.9202
[107/400]  Loss_D: -1.3028 Loss_G: -6.1788, Wasserstein_dist:1.8350, vae_loss_seen:735.2548 GZSL: seen=0.9575, unseen=0.8481, h=0.8995 ZSL: unseen accuracy=0.9154
[108/400]  Loss_D: -1.4918 Loss_G: -5.4012, Wasserstein_dist:1.9526, vae_loss_seen:738.4333 GZSL: seen=0.9594, unseen=0.8760, h=0.9158 ZSL: unseen accuracy=0.9308
[109/400]  Loss_D: -1.5009 Loss_G: -5.0109, Wasserstein_dist:2.0511, vae_loss_seen:749.8444 GZSL: seen=0.9481, unseen=0.8740, h=0.9095 ZSL: unseen accuracy=0.9192
[110/400]  Loss_D: -1.2820 Loss_G: -3.3344, Wasserstein_dist:1.8360, vae_loss_seen:739.0136 GZSL: seen=0.9468, unseen=0.8798, h=0.9121 ZSL: unseen accuracy=0.9337
[111/400]  Loss_D: -1.2368 Loss_G: -5.1342, Wasserstein_dist:1.7304, vae_loss_seen:736.1389 GZSL: seen=0.9492, unseen=0.8779, h=0.9122 ZSL: unseen accuracy=0.9250
