HYPER-PARAMETERS
[96/400]  Loss_D: -1.8477 Loss_G: -1.9504, Wasserstein_dist:2.5030, vae_loss_seen:354.3004 GZSL: seen=0.3888, unseen=0.4462, h=0.4155 ZSL: unseen accuracy=0.6500
[97/400]  Loss_D: -1.8761 Loss_G: -2.2281, Wasserstein_dist:2.5411, vae_loss_seen:371.4087 GZSL: seen=0.3651, unseen=0.4798, h=0.4146 ZSL: unseen accuracy=0.6500
[98/400]  Loss_D: -1.8915 Loss_G: -2.0469, Wasserstein_dist:2.5996, vae_loss_seen:358.9547 GZSL: seen=0.3529, unseen=0.5096, h=0.4170 ZSL: unseen accuracy=0.6500
[99/400]  Loss_D: -1.8274 Loss_G: -1.8755, Wasserstein_dist:2.4028, vae_loss_seen:361.6873 GZSL: seen=0.3497, unseen=0.5173, h=0.4173 ZSL: unseen accuracy=0.6529
[100/400]  Loss_D: -2.1976 Loss_G: -2.3337, Wasserstein_dist:2.9375, vae_loss_seen:376.5735 GZSL: seen=0.3805, unseen=0.4596, h=0.4163 ZSL: unseen accuracy=0.6500
[101/400]  Loss_D: -1.8839 Loss_G: -2.0540, Wasserstein_dist:2.4862, vae_loss_seen:355.7844 GZSL: seen=0.3563, unseen=0.4846, h=0.4107 ZSL: unseen accuracy=0.6519
[102/400]  Loss_D: -1.9286 Loss_G: -1.9025, Wasserstein_dist:2.6055, vae_loss_seen:369.2181 GZSL: seen=0.3477, unseen=0.5029, h=0.4111 ZSL: unseen accuracy=0.6538
[103/400]  Loss_D: -1.9444 Loss_G: -2.2023, Wasserstein_dist:2.6764, vae_loss_seen:370.5871 GZSL: seen=0.3658, unseen=0.4721, h=0.4122 ZSL: unseen accuracy=0.6500
[104/400]  Loss_D: -1.8439 Loss_G: -2.1807, Wasserstein_dist:2.5366, vae_loss_seen:356.0443 GZSL: seen=0.3497, unseen=0.4952, h=0.4099 ZSL: unseen accuracy=0.6500
[105/400]  Loss_D: -1.9434 Loss_G: -2.3279, Wasserstein_dist:2.5451, vae_loss_seen:368.2117 GZSL: seen=0.3835, unseen=0.4596, h=0.4181 ZSL: unseen accuracy=0.6577
[106/400]  Loss_D: -2.1038 Loss_G: -2.2704, Wasserstein_dist:2.7651, vae_loss_seen:380.7645 GZSL: seen=0.3831, unseen=0.4433, h=0.4110 ZSL: unseen accuracy=0.6452
[107/400]  Loss_D: -1.9523 Loss_G: -2.5008, Wasserstein_dist:2.7027, vae_loss_seen:369.8224 GZSL: seen=0.3561, unseen=0.4885, h=0.4119 ZSL: unseen accuracy=0.6548
[108/400]  Loss_D: -1.7258 Loss_G: -2.1433, Wasserstein_dist:2.3422, vae_loss_seen:372.8377 GZSL: seen=0.3778, unseen=0.4663, h=0.4174 ZSL: unseen accuracy=0.6548
[109/400]  Loss_D: -1.7533 Loss_G: -2.1951, Wasserstein_dist:2.3896, vae_loss_seen:360.6330 GZSL: seen=0.3694, unseen=0.4885, h=0.4207 ZSL: unseen accuracy=0.6587
[110/400]  Loss_D: -1.9654 Loss_G: -2.4720, Wasserstein_dist:2.6123, vae_loss_seen:367.4943 GZSL: seen=0.3690, unseen=0.4740, h=0.4149 ZSL: unseen accuracy=0.6567
[111/400]  Loss_D: -2.1162 Loss_G: -2.5830, Wasserstein_dist:2.8304, vae_loss_seen:372.5125 GZSL: seen=0.3692, unseen=0.4548, h=0.4076 ZSL: unseen accuracy=0.6558
[112/400]  Loss_D: -1.9164 Loss_G: -2.1816, Wasserstein_dist:2.6188, vae_loss_seen:358.5912 GZSL: seen=0.3715, unseen=0.4721, h=0.4158 ZSL: unseen accuracy=0.6615
[113/400]  Loss_D: -1.8726 Loss_G: -2.1093, Wasserstein_dist:2.5704, vae_loss_seen:352.2041 GZSL: seen=0.3838, unseen=0.4596, h=0.4183 ZSL: unseen accuracy=0.6548
[114/400]  Loss_D: -1.8573 Loss_G: -2.0015, Wasserstein_dist:2.5142, vae_loss_seen:370.5874 GZSL: seen=0.3832, unseen=0.4596, h=0.4179 ZSL: unseen accuracy=0.6606
[115/400]  Loss_D: -1.7455 Loss_G: -2.2688, Wasserstein_dist:2.3783, vae_loss_seen:350.5489 GZSL: seen=0.3641, unseen=0.4721, h=0.4111 ZSL: unseen accuracy=0.6519
[116/400]  Loss_D: -1.8220 Loss_G: -2.4216, Wasserstein_dist:2.4697, vae_loss_seen:378.0095 GZSL: seen=0.3864, unseen=0.4356, h=0.4095 ZSL: unseen accuracy=0.6481
[117/400]  Loss_D: -1.8590 Loss_G: -2.2018, Wasserstein_dist:2.4776, vae_loss_seen:359.9082 GZSL: seen=0.3792, unseen=0.4558, h=0.4140 ZSL: unseen accuracy=0.6625
[118/400]  Loss_D: -1.9671 Loss_G: -2.4326, Wasserstein_dist:2.6714, vae_loss_seen:372.9587 GZSL: seen=0.3600, unseen=0.4865, h=0.4138 ZSL: unseen accuracy=0.6548
[119/400]  Loss_D: -1.8926 Loss_G: -2.3505, Wasserstein_dist:2.5357, vae_loss_seen:359.4007 GZSL: seen=0.3637, unseen=0.4788, h=0.4134 ZSL: unseen accuracy=0.6538
[120/400]  Loss_D: -1.8072 Loss_G: -2.3342, Wasserstein_dist:2.3544, vae_loss_seen:365.4312 GZSL: seen=0.3939, unseen=0.4413, h=0.4163 ZSL: unseen accuracy=0.6567
[121/400]  Loss_D: -1.8222 Loss_G: -2.1723, Wasserstein_dist:2.4530, vae_loss_seen:356.0215 GZSL: seen=0.3907, unseen=0.4596, h=0.4223 ZSL: unseen accuracy=0.6519
[122/400]  Loss_D: -1.9278 Loss_G: -2.4073, Wasserstein_dist:2.5518, vae_loss_seen:365.4238 GZSL: seen=0.3622, unseen=0.4865, h=0.4152 ZSL: unseen accuracy=0.6510
[123/400]  Loss_D: -1.7154 Loss_G: -2.3760, Wasserstein_dist:2.3513, vae_loss_seen:369.7920 GZSL: seen=0.3927, unseen=0.4413, h=0.4156 ZSL: unseen accuracy=0.6500
[124/400]  Loss_D: -1.7615 Loss_G: -2.1843, Wasserstein_dist:2.3621, vae_loss_seen:368.3783 GZSL: seen=0.3842, unseen=0.4625, h=0.4197 ZSL: unseen accuracy=0.6615
[125/400]  Loss_D: -1.8565 Loss_G: -2.1815, Wasserstein_dist:2.4896, vae_loss_seen:362.9758 GZSL: seen=0.3431, unseen=0.5115, h=0.4107 ZSL: unseen accuracy=0.6567
