HYPER-PARAMETERS
[86/500]  Loss_D: -35.6997 Loss_G: -19.7797, Wasserstein_dist:46.6149, vae_loss_seen:586.9091 GZSL: seen=0.9003, unseen=0.6378, h=0.7467 ZSL: unseen accuracy=0.6473
[87/500]  Loss_D: -37.2979 Loss_G: -20.1569, Wasserstein_dist:46.7687, vae_loss_seen:585.9351 GZSL: seen=0.9332, unseen=0.6223, h=0.7467 ZSL: unseen accuracy=0.6551
[88/500]  Loss_D: -40.1049 Loss_G: -20.5062, Wasserstein_dist:49.4674, vae_loss_seen:586.4491 GZSL: seen=0.9489, unseen=0.6248, h=0.7535 ZSL: unseen accuracy=0.6604
[89/500]  Loss_D: -36.0390 Loss_G: -20.0549, Wasserstein_dist:47.1257, vae_loss_seen:600.7930 GZSL: seen=0.9079, unseen=0.6192, h=0.7363 ZSL: unseen accuracy=0.6549
[90/500]  Loss_D: -38.7641 Loss_G: -20.2657, Wasserstein_dist:49.9491, vae_loss_seen:600.1986 GZSL: seen=0.9094, unseen=0.6504, h=0.7584 ZSL: unseen accuracy=0.6411
[91/500]  Loss_D: -35.8166 Loss_G: -19.4453, Wasserstein_dist:46.0321, vae_loss_seen:619.2319 GZSL: seen=0.9464, unseen=0.6027, h=0.7364 ZSL: unseen accuracy=0.6508
[92/500]  Loss_D: -37.6882 Loss_G: -20.8277, Wasserstein_dist:48.0979, vae_loss_seen:600.0346 GZSL: seen=0.9039, unseen=0.6282, h=0.7412 ZSL: unseen accuracy=0.6563
[93/500]  Loss_D: -35.8047 Loss_G: -19.8250, Wasserstein_dist:47.3805, vae_loss_seen:587.7228 GZSL: seen=0.9026, unseen=0.6430, h=0.7510 ZSL: unseen accuracy=0.6438
[94/500]  Loss_D: -30.8594 Loss_G: -21.3405, Wasserstein_dist:42.5438, vae_loss_seen:585.8353 GZSL: seen=0.8991, unseen=0.6396, h=0.7475 ZSL: unseen accuracy=0.6645
[95/500]  Loss_D: -32.3752 Loss_G: -20.2898, Wasserstein_dist:44.1261, vae_loss_seen:603.0350 GZSL: seen=0.9069, unseen=0.6419, h=0.7517 ZSL: unseen accuracy=0.6697
[96/500]  Loss_D: -36.6710 Loss_G: -21.7816, Wasserstein_dist:47.9324, vae_loss_seen:578.3085 GZSL: seen=0.9008, unseen=0.6397, h=0.7481 ZSL: unseen accuracy=0.6695
[97/500]  Loss_D: -33.9613 Loss_G: -21.2636, Wasserstein_dist:45.2910, vae_loss_seen:583.8118 GZSL: seen=0.9445, unseen=0.6085, h=0.7402 ZSL: unseen accuracy=0.6535
[98/500]  Loss_D: -36.8186 Loss_G: -21.3430, Wasserstein_dist:47.7482, vae_loss_seen:588.2633 GZSL: seen=0.9559, unseen=0.5980, h=0.7357 ZSL: unseen accuracy=0.6431
[99/500]  Loss_D: -30.2526 Loss_G: -21.5606, Wasserstein_dist:41.9870, vae_loss_seen:594.5530 GZSL: seen=0.9445, unseen=0.6289, h=0.7550 ZSL: unseen accuracy=0.6797
[100/500]  Loss_D: -33.4982 Loss_G: -20.5138, Wasserstein_dist:45.2065, vae_loss_seen:597.3502 GZSL: seen=0.8915, unseen=0.6610, h=0.7592 ZSL: unseen accuracy=0.6684
[101/500]  Loss_D: -28.9407 Loss_G: -21.6790, Wasserstein_dist:38.5028, vae_loss_seen:577.2395 GZSL: seen=0.8961, unseen=0.6550, h=0.7568 ZSL: unseen accuracy=0.6615
[102/500]  Loss_D: -34.8090 Loss_G: -20.9364, Wasserstein_dist:44.4021, vae_loss_seen:591.1963 GZSL: seen=0.9382, unseen=0.6270, h=0.7516 ZSL: unseen accuracy=0.6663
[103/500]  Loss_D: -35.9880 Loss_G: -21.6310, Wasserstein_dist:48.3759, vae_loss_seen:579.9974 GZSL: seen=0.9512, unseen=0.6228, h=0.7527 ZSL: unseen accuracy=0.6384
[104/500]  Loss_D: -34.6152 Loss_G: -21.2487, Wasserstein_dist:45.5890, vae_loss_seen:580.7530 GZSL: seen=0.9498, unseen=0.6195, h=0.7499 ZSL: unseen accuracy=0.6539
[105/500]  Loss_D: -34.5690 Loss_G: -20.5629, Wasserstein_dist:45.6908, vae_loss_seen:595.9067 GZSL: seen=0.9467, unseen=0.6384, h=0.7626 ZSL: unseen accuracy=0.6502
[106/500]  Loss_D: -35.7245 Loss_G: -21.8619, Wasserstein_dist:47.3858, vae_loss_seen:573.1935 GZSL: seen=0.9028, unseen=0.6532, h=0.7580 ZSL: unseen accuracy=0.6617
[107/500]  Loss_D: -33.0339 Loss_G: -21.4674, Wasserstein_dist:41.5070, vae_loss_seen:583.6490 GZSL: seen=0.9513, unseen=0.6183, h=0.7495 ZSL: unseen accuracy=0.6534
[108/500]  Loss_D: -30.8388 Loss_G: -21.1791, Wasserstein_dist:42.1092, vae_loss_seen:578.2650 GZSL: seen=0.9125, unseen=0.6392, h=0.7518 ZSL: unseen accuracy=0.6644
[109/500]  Loss_D: -29.4334 Loss_G: -21.3277, Wasserstein_dist:41.1087, vae_loss_seen:597.2881 GZSL: seen=0.9038, unseen=0.6385, h=0.7483 ZSL: unseen accuracy=0.6670
[110/500]  Loss_D: -26.1344 Loss_G: -22.4554, Wasserstein_dist:36.3824, vae_loss_seen:571.2458 GZSL: seen=0.9475, unseen=0.6269, h=0.7546 ZSL: unseen accuracy=0.6459
[111/500]  Loss_D: -30.0984 Loss_G: -21.8075, Wasserstein_dist:41.3412, vae_loss_seen:558.6202 GZSL: seen=0.9044, unseen=0.6649, h=0.7664 ZSL: unseen accuracy=0.6494
[112/500]  Loss_D: -31.9851 Loss_G: -21.6165, Wasserstein_dist:40.9520, vae_loss_seen:583.1790 GZSL: seen=0.9452, unseen=0.6362, h=0.7605 ZSL: unseen accuracy=0.6543
[113/500]  Loss_D: -26.5847 Loss_G: -23.4056, Wasserstein_dist:38.2054, vae_loss_seen:572.8188 GZSL: seen=0.9056, unseen=0.6376, h=0.7483 ZSL: unseen accuracy=0.6618
[114/500]  Loss_D: -30.3061 Loss_G: -21.9001, Wasserstein_dist:40.3665, vae_loss_seen:591.6577 GZSL: seen=0.9039, unseen=0.6261, h=0.7398 ZSL: unseen accuracy=0.6765
[115/500]  Loss_D: -27.1758 Loss_G: -23.1023, Wasserstein_dist:37.4529, vae_loss_seen:549.5859 GZSL: seen=0.9071, unseen=0.6506, h=0.7577 ZSL: unseen accuracy=0.6708
[116/500]  Loss_D: -34.4856 Loss_G: -22.0256, Wasserstein_dist:43.7000, vae_loss_seen:578.3560 GZSL: seen=0.9120, unseen=0.6153, h=0.7348 ZSL: unseen accuracy=0.6713
[117/500]  Loss_D: -31.9789 Loss_G: -22.2002, Wasserstein_dist:42.1338, vae_loss_seen:579.1406 GZSL: seen=0.9100, unseen=0.6318, h=0.7458 ZSL: unseen accuracy=0.6435
[118/500]  Loss_D: -27.5202 Loss_G: -22.4770, Wasserstein_dist:37.9086, vae_loss_seen:564.0259 GZSL: seen=0.8991, unseen=0.6386, h=0.7468 ZSL: unseen accuracy=0.6440
[119/500]  Loss_D: -27.3294 Loss_G: -23.6071, Wasserstein_dist:36.9380, vae_loss_seen:538.4376 GZSL: seen=0.9450, unseen=0.6134, h=0.7439 ZSL: unseen accuracy=0.6442
[120/500]  Loss_D: -35.5964 Loss_G: -23.2071, Wasserstein_dist:45.8688, vae_loss_seen:569.1404 GZSL: seen=0.9051, unseen=0.6501, h=0.7567 ZSL: unseen accuracy=0.6490
[121/500]  Loss_D: -32.8925 Loss_G: -23.2764, Wasserstein_dist:43.3548, vae_loss_seen:564.6752 GZSL: seen=0.9069, unseen=0.6471, h=0.7553 ZSL: unseen accuracy=0.6615
[122/500]  Loss_D: -27.1492 Loss_G: -22.5347, Wasserstein_dist:36.8681, vae_loss_seen:568.5475 GZSL: seen=0.9533, unseen=0.6281, h=0.7573 ZSL: unseen accuracy=0.6603
[123/500]  Loss_D: -24.7854 Loss_G: -22.2136, Wasserstein_dist:34.2447, vae_loss_seen:551.1678 GZSL: seen=0.9088, unseen=0.6442, h=0.7539 ZSL: unseen accuracy=0.6482
[124/500]  Loss_D: -26.2970 Loss_G: -23.8414, Wasserstein_dist:37.9516, vae_loss_seen:535.5585 GZSL: seen=0.9536, unseen=0.6225, h=0.7533 ZSL: unseen accuracy=0.6383
[125/500]  Loss_D: -28.8689 Loss_G: -22.7994, Wasserstein_dist:36.3176, vae_loss_seen:536.0140 GZSL: seen=0.9531, unseen=0.6287, h=0.7576 ZSL: unseen accuracy=0.6537
