HYPER-PARAMETERS
[103/500]  Loss_D: -19.0000 Loss_G: -4.9542, Wasserstein_dist:25.7056, vae_loss_seen:349.1372 GZSL: seen=0.8547, unseen=0.5312, h=0.6552 ZSL: unseen accuracy=0.5654
[104/500]  Loss_D: -20.3806 Loss_G: -4.0452, Wasserstein_dist:27.1096, vae_loss_seen:364.7403 GZSL: seen=0.8488, unseen=0.5354, h=0.6567 ZSL: unseen accuracy=0.5710
[105/500]  Loss_D: -19.3138 Loss_G: -4.2885, Wasserstein_dist:25.7006, vae_loss_seen:372.6201 GZSL: seen=0.8416, unseen=0.5349, h=0.6541 ZSL: unseen accuracy=0.5743
[106/500]  Loss_D: -16.6776 Loss_G: -3.7273, Wasserstein_dist:21.8240, vae_loss_seen:357.4134 GZSL: seen=0.8579, unseen=0.5274, h=0.6533 ZSL: unseen accuracy=0.5690
[107/500]  Loss_D: -18.9676 Loss_G: -2.8207, Wasserstein_dist:25.6954, vae_loss_seen:388.1771 GZSL: seen=0.8233, unseen=0.5389, h=0.6514 ZSL: unseen accuracy=0.5717
[108/500]  Loss_D: -16.2535 Loss_G: -2.6726, Wasserstein_dist:22.4229, vae_loss_seen:364.0412 GZSL: seen=0.8319, unseen=0.5415, h=0.6560 ZSL: unseen accuracy=0.5670
[109/500]  Loss_D: -16.8088 Loss_G: -2.9401, Wasserstein_dist:22.8291, vae_loss_seen:353.5186 GZSL: seen=0.8599, unseen=0.5248, h=0.6518 ZSL: unseen accuracy=0.5700
[110/500]  Loss_D: -18.7097 Loss_G: -3.0029, Wasserstein_dist:25.6970, vae_loss_seen:387.3539 GZSL: seen=0.8185, unseen=0.5456, h=0.6547 ZSL: unseen accuracy=0.5740
[111/500]  Loss_D: -15.8157 Loss_G: -2.8479, Wasserstein_dist:21.3279, vae_loss_seen:362.7813 GZSL: seen=0.8206, unseen=0.5356, h=0.6482 ZSL: unseen accuracy=0.5678
[112/500]  Loss_D: -17.3370 Loss_G: -2.4548, Wasserstein_dist:23.7486, vae_loss_seen:385.9623 GZSL: seen=0.8410, unseen=0.5351, h=0.6541 ZSL: unseen accuracy=0.5705
[113/500]  Loss_D: -20.7237 Loss_G: -2.6902, Wasserstein_dist:26.7165, vae_loss_seen:394.3735 GZSL: seen=0.8227, unseen=0.5388, h=0.6511 ZSL: unseen accuracy=0.5801
[114/500]  Loss_D: -15.9569 Loss_G: -2.8211, Wasserstein_dist:20.9272, vae_loss_seen:377.4223 GZSL: seen=0.8531, unseen=0.5217, h=0.6474 ZSL: unseen accuracy=0.5672
[115/500]  Loss_D: -14.8911 Loss_G: -2.6993, Wasserstein_dist:20.1646, vae_loss_seen:369.9811 GZSL: seen=0.8290, unseen=0.5384, h=0.6528 ZSL: unseen accuracy=0.5779
[116/500]  Loss_D: -15.7433 Loss_G: -2.3316, Wasserstein_dist:21.4431, vae_loss_seen:366.0617 GZSL: seen=0.8535, unseen=0.5220, h=0.6478 ZSL: unseen accuracy=0.5800
[117/500]  Loss_D: -14.9624 Loss_G: -2.3467, Wasserstein_dist:20.3507, vae_loss_seen:380.6637 GZSL: seen=0.8474, unseen=0.5264, h=0.6494 ZSL: unseen accuracy=0.5786
[118/500]  Loss_D: -16.6148 Loss_G: -2.5087, Wasserstein_dist:22.2083, vae_loss_seen:391.9525 GZSL: seen=0.8258, unseen=0.5401, h=0.6531 ZSL: unseen accuracy=0.5849
[119/500]  Loss_D: -13.9776 Loss_G: -2.4628, Wasserstein_dist:18.5059, vae_loss_seen:370.5843 GZSL: seen=0.8372, unseen=0.5542, h=0.6670 ZSL: unseen accuracy=0.5804
[120/500]  Loss_D: -14.9126 Loss_G: -2.2231, Wasserstein_dist:20.1780, vae_loss_seen:406.3463 GZSL: seen=0.8368, unseen=0.5381, h=0.6550 ZSL: unseen accuracy=0.5671
[121/500]  Loss_D: -14.4244 Loss_G: -2.4680, Wasserstein_dist:19.8755, vae_loss_seen:382.9806 GZSL: seen=0.8490, unseen=0.5328, h=0.6547 ZSL: unseen accuracy=0.5777
[122/500]  Loss_D: -13.5561 Loss_G: -2.5473, Wasserstein_dist:17.5495, vae_loss_seen:367.6780 GZSL: seen=0.8302, unseen=0.5413, h=0.6553 ZSL: unseen accuracy=0.5809
[123/500]  Loss_D: -16.0389 Loss_G: -2.2566, Wasserstein_dist:21.0839, vae_loss_seen:399.1554 GZSL: seen=0.8297, unseen=0.5414, h=0.6553 ZSL: unseen accuracy=0.5749
[124/500]  Loss_D: -15.4425 Loss_G: -1.9842, Wasserstein_dist:20.5868, vae_loss_seen:403.6516 GZSL: seen=0.8445, unseen=0.5293, h=0.6507 ZSL: unseen accuracy=0.5733
[125/500]  Loss_D: -12.7288 Loss_G: -2.1253, Wasserstein_dist:17.9250, vae_loss_seen:390.7398 GZSL: seen=0.8553, unseen=0.5226, h=0.6488 ZSL: unseen accuracy=0.5758
